Landkreis;Landkreis ID;Lat;Lon;
Freiburg im Breisgau;08311;47.9925229956;7.81807596197;
Dillingen an der Donau;09773;48.5964037974;10.527764168;
Nürnberg;09564;49.4362114486;11.0827553426;
Neumarkt in der Oberpfalz;09373;49.2159614099;11.5665579197;
Rosenheim;09163;47.8443777181;12.1087247511;
Wilhelmshaven;03405;53.5659448147;8.08620462896;
Wittmund;03462;53.5734137385;7.7061235505;
Recklinghausen;05562;51.6724839158;7.15924893893;
Steinfurt;05566;52.2115366779;7.57944671253;
Kusel;07336;49.5498108558;7.47132028218;
Neuwied;07138;50.5577005458;7.46900064967;
Neunkirchen;10043;49.3757016517;7.11720320683;
Ostholstein;01055;54.1896490274;10.8194270205;
Amberg;09361;49.4509277374;11.8453726034;
Fürth;09563;49.4914188335;10.9654822077;
Günzburg;09774;48.3528138472;10.3811312115;
Regensburg;09362;49.0130808954;12.1137308794;
Rhön-Grabfeld;09673;50.3713127519;10.2549075725;
Elbe-Elster;12062;51.6122710164;13.459588917;
Marburg-Biedenkopf;06534;50.8368638341;8.73804376785;
Rostock;13003;54.1463883937;12.1417471216;
Cloppenburg;03453;52.9110290194;7.90471393786;
Gifhorn;03151;52.5802562309;10.6041704601;
Bernkastel-Wittlich;07231;49.924645182;6.96721862193;
Rhein-Lahn-Kreis;07141;50.2632817442;7.84270993642;
Steinburg;01061;53.9289451889;9.51938189615;
Unstrut-Hainich-Kreis;16064;51.185238708;10.551795561;
Alb-Donau-Kreis;08425;48.4017114301;9.82744714375;
Baden-Baden;08211;48.748527439;8.23176220313;
Heilbronn;08121;49.1527195922;9.18234690067;
Rottweil;08325;48.254220293;8.53235133177;
Altötting;09171;48.2098044272;12.7052826752;
Neu-Ulm;09775;48.2982265453;10.1411558091;
Weißenburg-Gunzenhausen;09577;49.0326858351;10.8936591358;
Weiden in der Oberpfalz;09363;49.6692496128;12.1545339322;
Uelzen;03360;52.9836349419;10.5475810531;
Märkischer Kreis;05962;51.2626114418;7.71300809906;
Koblenz;07111;50.348516061;7.5795510239;
Bautzen;14625;51.2689135848;14.2310085239;
Saalfeld-Rudolstadt;16073;50.637797959;11.3091162493;
Aichach-Friedberg;09771;48.4275701484;11.0527555565;
Amberg-Sulzbach;09371;49.4867511317;11.8009532083;
Bamberg;09471;49.893428617;10.8836637829;
Dingolfing-Landau;09279;48.641164618;12.6104771899;
Barnim;12060;52.8232279789;13.7037311303;
Bergstraße;06431;49.6177012221;8.66011611597;
Goslar;03153;51.8746771574;10.400392667;
Hildesheim;03254;52.0902189983;9.94348097201;
Vechta;03460;52.6602901512;8.22305794318;
Höxter;05762;51.6849407394;9.17809149846;
Bad Kreuznach;07133;49.8248204055;7.68666499174;
Cochem-Zell;07135;50.1328800059;7.17431996528;
Südwestpfalz;07340;49.2082747366;7.65886718981;
St. Wendel;10046;49.5195731082;7.1004332453;
Nordfriesland;01054;54.6095639996;8.88688779292;
Pinneberg;01056;53.7180840651;9.73686669973;
Gera;16052;50.8940170773;12.0826961871;
Bodenseekreis;08435;47.7334602866;9.40077001359;
Breisgau-Hochschwarzwald;08315;47.9249093559;7.92494089685;
Calw;08235;48.6789990614;8.6357698286;
Waldshut;08337;47.6971334745;8.21889239137;
Coburg;09473;50.267889506;10.9423260473;
Bremen;04011;53.1195434664;8.78049374679;
Bremerhaven;04012;53.5381662933;8.58850522385;
Limburg-Weilburg;06533;50.4274703547;8.19943723806;
Düren;05358;50.8178950546;6.44556160998;
Essen;05113;51.433832766;7.01715391614;
Birkenfeld;07134;49.7125403895;7.27765459793;
Kaiserslautern;07312;49.4328526023;7.76067474783;
